TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;AS;IDADE
2;45;3x3;1;810;1;15;23,8;N;0,017671459;66,1
2;45;3x3;1;810;2;13;23,8;N;0,013273229;66,1
2;45;3x3;1;810;3;15;24,7;N;0,017671459;66,1
2;45;3x3;1;810;4;13,5;23,3;N;0,014313882;66,1
2;45;3x3;1;810;5;15;24,3;N;0,017671459;66,1
2;45;3x3;1;810;6;14;22,4;N;0,015393804;66,1
2;45;3x3;1;810;7;16;23,9;N;0,020106193;66,1
2;45;3x3;1;810;8;15;24,2;N;0,017671459;66,1
2;45;3x3;1;810;9;13,5;22,6;N;0,014313882;66,1
2;45;3x3;1;810;10;15;24,1;N;0,017671459;66,1
2;45;3x3;1;810;11;15;25,4;N;0,017671459;66,1
2;45;3x3;1;810;12;14,5;24,3;N;0,016512996;66,1
2;45;3x3;1;810;13;16;24,9;D;0,020106193;66,1
2;45;3x3;1;810;14;14;23,8;N;0,015393804;66,1
2;45;3x3;1;810;15;16;24,3;D;0,020106193;66,1
2;45;3x3;1;810;16;10;17,6;N;0,007853982;66,1
2;45;3x3;1;810;17;15;24,8;N;0,017671459;66,1
2;45;3x3;1;810;18;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;19;16;25,3;D;0,020106193;66,1
2;45;3x3;1;810;20;12;NA;N;0,011309734;66,1
2;45;3x3;1;810;21;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;22;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;23;13;NA;N;0,013273229;66,1
2;45;3x3;1;810;24;13;NA;N;0,013273229;66,1
2;45;3x3;1;810;25;13,5;NA;N;0,014313882;66,1
2;45;3x3;1;810;26;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;27;13;NA;N;0,013273229;66,1
2;45;3x3;1;810;28;13;NA;N;0,013273229;66,1
2;45;3x3;1;810;29;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;30;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;31;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;32;13;NA;N;0,013273229;66,1
2;45;3x3;1;810;33;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;34;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;35;14,5;NA;N;0,016512996;66,1
2;45;3x3;1;810;36;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;37;16;NA;N;0,020106193;66,1
2;45;3x3;1;810;38;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;39;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;40;13,5;NA;N;0,014313882;66,1
2;45;3x3;1;810;41;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;42;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;43;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;44;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;45;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;46;14;NA;N;0,015393804;66,1
2;45;3x3;1;810;47;15;NA;N;0,017671459;66,1
2;45;3x3;1;810;48;15;NA;N;0,017671459;66,1
