TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;hd_not;ht_est_not;AS;IDADE;vcc_est_not;vsc_est_not
2;45;3x3;1;810;1;15;23,8;N;25,04;23,8;0,017671459;66,1;0,202648747;0,177533354
2;45;3x3;1;810;2;13;23,8;N;25,04;23,8;0,013273229;66,1;0,153872755;0,133827634
2;45;3x3;1;810;3;15;24,7;N;25,04;24,7;0,017671459;66,1;0,209346469;0,18315935
2;45;3x3;1;810;4;13,5;23,3;N;25,04;23,3;0,014313882;66,1;0,16241325;0,141632961
2;45;3x3;1;810;5;15;24,3;N;25,04;24,3;0,017671459;66,1;0,206373505;0,180663016
2;45;3x3;1;810;6;14;22,4;N;25,04;22,4;0,015393804;66,1;0,168277059;0,147223284
2;45;3x3;1;810;7;16;23,9;N;25,04;23,9;0,020106193;66,1;0,230287699;0,202378156
2;45;3x3;1;810;8;15;24,2;N;25,04;24,2;0,017671459;66,1;0,20562932;0,180037912
2;45;3x3;1;810;9;13,5;22,6;N;25,04;22,6;0,014313882;66,1;0,158130692;0,138047834
2;45;3x3;1;810;10;15;24,1;N;25,04;24,1;0,017671459;66,1;0,204884753;0,179412395
2;45;3x3;1;810;11;15;25,4;N;25,04;25,4;0,017671459;66,1;0,214534872;0,187512512
2;45;3x3;1;810;12;14,5;24,3;N;25,04;24,3;0,016512996;66,1;0,193341069;0,168963426
2;45;3x3;1;810;13;16;24,9;D;25,04;24,9;0,020106193;66,1;0,238707173;0,209472037
2;45;3x3;1;810;14;14;23,8;N;25,04;23,8;0,015393804;66,1;0,177455737;0,154919622
2;45;3x3;1;810;15;16;24,3;D;25,04;24,3;0,020106193;66,1;0,23366063;0,205221282
2;45;3x3;1;810;16;10;17,6;N;25,04;17,6;0,007853982;66,1;0,071301701;0,061852958
2;45;3x3;1;810;17;15;24,8;N;25,04;24,8;0,017671459;66,1;0,210088774;0,183782423
2;45;3x3;1;810;18;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;19;16;25,3;D;25,04;25,3;0,020106193;66,1;0,242063147;0,212296788
2;45;3x3;1;810;20;12;NA;N;25,04;22,35024675;0,011309734;66,1;0,12484264;0,108381081
2;45;3x3;1;810;21;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;22;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;23;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;24;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;25;13,5;NA;N;25,04;23,53835247;0,014313882;66,1;0,163867816;0,142849768
2;45;3x3;1;810;26;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;27;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;28;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;29;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;30;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;31;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
2;45;3x3;1;810;32;13;NA;N;25,04;23,16620585;0,013273229;66,1;0,150277092;0,130825745
2;45;3x3;1;810;33;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;34;14;NA;N;25,04;23,88926811;0,015393804;66,1;0,178038686;0,155407873
2;45;3x3;1;810;35;14,5;NA;N;25,04;24,22068385;0,016512996;66,1;0,192788114;0,168499758
2;45;3x3;1;810;36;15;NA;N;25,04;24,53415211;0,017671459;66,1;0,208114549;0,182125109
