"TALHAO";"PARCELA";"IDADE";"AREA_TALHAO";"AREA_PARCELA";"DAP";"q";"HT";"HD";"G";"VCC";"VSC";"FAZENDA"
2;1;64;45;810;14,17;14,22;23,87;25,04;17,645;192,8475;159,2721;"FAZENDA1"
2;2;64;45;810;14,45;14,52;23,41;23,76;18,2028;182,7694;152,281;"FAZENDA2"
2;3;61,1;45;810;12,85;12,89;20,26;20,7;14,3388;106,8201;88,7801;"FAZENDA1"
2;7;63,9;45;810;14,76;14,81;23,91;24,4;18,9371;196,9642;164,2356;"FAZENDA2"
2;8;63,9;45;810;14,59;14,63;23,53;23,96;18,683;187,172;156,0292;"FAZENDA1"
4;4;61,1;51;810;12,28;12,33;18,92;19,98;13,2638;62,6068;54,2618;"FAZENDA2"
4;5;61,1;51;810;12,64;12,69;18,79;19,6;14,0618;67,2171;58,4572;"FAZENDA1"
4;9;63;51;810;13,59;13,65;20,34;20,72;16,0849;80,9943;71,1266;"FAZENDA2"
4;10;63;51;810;13,97;14,01;21,33;21,68;17,1304;88,085;77,5931;"FAZENDA1"
4;11;63;51;810;13,87;13,9;21,83;22,5;16,6713;85,775;75,4857;"FAZENDA2"
